Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Exceptional property for sale,Aartstraat 28,"€895,000",4 bedrooms | 317 m² ,4 bedrooms,No,USA hyper equipped,Good,751 m² ,Yes
House for sale,8300 — Knokke-Heist,"€2,275",6 bedrooms | 384 m² ,6 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
House for sale,Rodemont 22,"€295,000",3 bedrooms | 153 m² ,3 bedrooms,No,Hyper equipped,To be done up,751 m² ,Yes
House for sale,"Hundelgemsesteenweg 530,","€339,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,Good,751 m² ,Yes
House for sale,Neerstraat 139,"€279,500",4 bedrooms | 160 m² ,4 bedrooms,No,Installed,Just renovated,24 m² ,Yes
House for sale,Bloemendallaan 77,"€425,000",4 bedrooms,4 bedrooms,No,Installed,Just renovated,90 m² ,No
House for sale,Lamstraat 53,"€93,000",2 bedrooms | 104 m² ,2 bedrooms,No,Installed,Just renovated,90 m² ,No
House for sale,Chaussee Brunehault 209,"€166,000",4 bedrooms | 168 m² ,4 bedrooms,No,Installed,Good,90 m² ,No
House for sale,Rue tour de la vierge 33,"€189,900",3 bedrooms | 185 m² ,3 bedrooms,No,Installed,Good,90 m² ,No
House for sale,7522 — Blandain,"€200,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,90 m² ,No
House for sale,"Klijtstraat 131,","€215,000",2 bedrooms | 122 m² ,2 bedrooms,No,Semi equipped,Good,90 m² ,No
House for sale,Frans Smetstraat 5,"€275,000",3 bedrooms,3 bedrooms,No,Semi equipped,Good,90 m² ,No
House for sale,Bugtenpad 38,"€285,975",3 bedrooms | 159 m² ,3 bedrooms,No,Installed,Good,381 m² ,No
House for sale,"Brugsesteenweg 267,","€349,000",2 bedrooms,2 bedrooms,No,Installed,To renovate,381 m² ,No
House for sale,Vinkenhof 3,"€361,260",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,406 m² ,No
House for sale,Vinkenhof 8,"€361,499",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
House for sale,Vinkenhof 5,"€362,989",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
House for sale,Albert De Keselstraat 23,"€368,000",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To renovate,405 m² ,No
House for sale,Grootmoers LOT 10,"€428,000",3 bedrooms | 152 m² ,3 bedrooms,No,Installed,As new,330 m² ,No
House for sale,Berkstraat 9/D,"€430,000",5 bedrooms | 195 m² ,5 bedrooms,No,Installed,As new,361 m² ,No
House for sale,Weststraat 104 Box A,"€434,000",3 bedrooms | 187 m² ,3 bedrooms,No,Installed,As new,142 m² ,No
House for sale,Tulpenstraat 11,"€439,000",3 bedrooms,3 bedrooms,No,Not installed,To renovate,142 m² ,No
House for sale,Bareelstraat 62-66,"€497,400",3 bedrooms | 180 m² ,3 bedrooms,No,Installed,To renovate,142 m² ,No
Mixed-use building for sale,Frans van Ryhovelaan 207-209,"€499,000",5 bedrooms | 441 m² ,5 bedrooms,No,Installed,To renovate,140 m² ,No
House for sale,- -,"€545,000",3 bedrooms,3 bedrooms,No,Installed,As new,140 m² ,No
House for sale,Straatjesgang 15,"€735,000",5 bedrooms | 170 m² ,5 bedrooms,No,Installed,As new,45 m² ,No
House for sale,Tegelrie 13B,"€825,000",5 bedrooms | 196 m² ,5 bedrooms,No,USA hyper equipped,As new,179 m² ,No
House for sale,7120 — ESTINNES-AU-VAL,"€195,000",3 bedrooms | 130 m² ,3 bedrooms,No,Not installed,As new,179 m² ,No
House for sale,7760 — POTTES,"€235,000",4 bedrooms | 89 m² ,4 bedrooms,No,Not installed,To renovate,179 m² ,No
House for sale,Kolveniersstraat 12,"€189,000",3 bedrooms,3 bedrooms,No,Not installed,To renovate,179 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Not installed,To renovate,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Not installed,To renovate,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Not installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Heiststeenweg 120,"€205,000",3 bedrooms | 242 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,"Lekestraat 34,","€249,000",3 bedrooms,3 bedrooms,No,Installed,Good,751 m² ,Yes
House for sale,Smissestraat 112,"€292,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,As new,751 m² ,No
House for sale,Adreas Vesaliusstraat 41,"€1,700",9 bedrooms | 250 m² ,9 bedrooms,No,Installed,As new,751 m² ,No
House for sale,Maria Theresiastraat 29,"€1,940",8 bedrooms | 295 m² ,8 bedrooms,No,Installed,As new,751 m² ,No
House for sale,Rue de Sondeville 91,"€40,000",3 bedrooms,3 bedrooms,No,Installed,As new,751 m² ,No
Mixed-use building for sale,Rue Des Alliés 21,"€220,000",3 bedrooms | 184 m² ,3 bedrooms,No,Installed,As new,100 m² ,No
Country house for sale,"Rue du Centre, 18 Box 0","€225,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,As new,100 m² ,No
House for sale,Impasse Gollier 2,"€300,000",270 m² ,270 m² square meters livable space,No,Installed,As new,180 m² ,No
House for sale,"Dendermondesteenweg 312,","€350,000",3 bedrooms,3 bedrooms,No,Semi equipped,To be done up,180 m² ,No
House for sale,"Akkerstraat 64,","€205,000",2 bedrooms,2 bedrooms,No,USA hyper equipped,As new,180 m² ,No
House for sale,Ieperstraat 199,"€259,000",3 bedrooms | 112 m² ,3 bedrooms,No,USA installed,As new,180 m² ,No
House for sale,Kasteelstraat 176,"€299,000",4 bedrooms | 105 m² ,4 bedrooms,No,USA installed,To be done up,180 m² ,No
House for sale,Ontmijnersstraat 28,"€395,000",4 bedrooms,4 bedrooms,No,USA installed,To be done up,180 m² ,No
House for sale,Sportstraat 10,"€250,000",9 bedrooms | 107 m² ,9 bedrooms,No,USA installed,To be done up,180 m² ,No
House for sale,Zandekensstraat 2,"€345,000",3 bedrooms,3 bedrooms,No,USA installed,To be done up,180 m² ,No
House for sale,Oude Hoogweg 50,"€279,500",3 bedrooms | 169 m² ,3 bedrooms,No,USA installed,As new,180 m² ,No
House for sale,CLOS POUSSARD 1,"€296,607",3 bedrooms | 130 m² ,3 bedrooms,No,USA installed,As new,104 m² ,No
House for sale,4540 — Amay,"€185,000",3 bedrooms | 105 m² ,3 bedrooms,No,USA installed,As new,104 m² ,No
House for sale,Kasteelweg 46,"€575,000",3 bedrooms | 304 m² ,3 bedrooms,No,USA installed,To be done up,104 m² ,No
Villa for sale,7700 — Mouscron,"€690,000",3 bedrooms | 197 m² ,3 bedrooms,No,Installed,As new,450 m² ,No
House for sale,Rue de Maubeuge 2,"€32,000",2 bedrooms,2 bedrooms,No,Installed,As new,450 m² ,No
House for sale,Wolfsbos 1,"€70,000",5 bedrooms | 201 m² ,5 bedrooms,No,Installed,As new,450 m² ,No
House for sale,Rue Louis Empain 28 Box 0,"€150,000",2 bedrooms | 71 m² ,2 bedrooms,No,Installed,As new,450 m² ,No
House for sale,Jan Jeliestraat 27,"€165,000",2 bedrooms | 130 m² ,2 bedrooms,No,Semi equipped,To be done up,450 m² ,No
House for sale,7712 — Herseaux,"€179,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,To be done up,400 m² ,No
House for sale,Leemstraat 30,"€195,000",2 bedrooms | 108 m² ,2 bedrooms,No,Installed,To be done up,400 m² ,No
House for sale,Korte Nieuwstraat 7,"€229,669",3 bedrooms | 123 m² ,3 bedrooms,No,Installed,To be done up,400 m² ,No
House for sale,"Astridlaan 5,","€294,000",3 bedrooms,3 bedrooms,No,Installed,Good,400 m² ,No
House for sale,Rozenlaan 12,"€310,000",3 bedrooms,3 bedrooms,No,Installed,As new,400 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,As new,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Steenbeek 6,"€310,000",2 bedrooms | 101 m² ,2 bedrooms,No,USA hyper equipped,To renovate,751 m² ,Yes
House for sale,Derbylaan 11,"€319,000",2 bedrooms,2 bedrooms,No,USA hyper equipped,To be done up,751 m² ,Yes
House for sale,8930 — Lauwe,"€139,000",3 bedrooms | 225 m² ,3 bedrooms,No,Not installed,To be done up,147 m² ,No
House for sale,Baron Leroystraat 81,"€299,000",3 bedrooms,3 bedrooms,No,Not installed,Good,52 m² ,No
House for sale,Graaf Jansdijk 197,"€995,000",4 bedrooms | 230 m² ,4 bedrooms,No,Not installed,Good,52 m² ,No
House for sale,3545 — Halen,"€50,000",3 bedrooms | 137 m² ,3 bedrooms,No,Installed,Good,52 m² ,No
Chalet for sale,Rue du Tram,"€69,000",1 bedroom | 37 m² ,1 bedroom,No,Installed,Good,52 m² ,No
House for sale,Kortrijksestraat 9,"€109,000",2 bedrooms | 152 m² ,2 bedrooms,No,Semi equipped,To renovate,52 m² ,No
House for sale,6041 — Gosselies,"€115,000",3 bedrooms | 99 m² ,3 bedrooms,No,Not installed,To be done up,52 m² ,No
House for sale,7012 — Jemappes,"€115,000",3 bedrooms | 153 m² ,3 bedrooms,No,Not installed,To renovate,52 m² ,No
House for sale,7390 — Quaregnon,"€120,000",3 bedrooms | 95 m² ,3 bedrooms,No,Semi equipped,Good,70 m² ,No
House for sale,rue des Grands Prés 82,"€140,000",4 bedrooms | 155 m² ,4 bedrooms,No,Not installed,To renovate,116 m² ,No
House for sale,"Rood-Kruisstraat 2,1","€149,900",2 bedrooms | 69 m² ,2 bedrooms,No,Not installed,Good,116 m² ,No
Apartment block for sale,Rue de la Paix 167,"€150,000",4 bedrooms | 175 m² ,4 bedrooms,No,Not installed,To renovate,116 m² ,No
House for sale,Rue de la Paix 167,"€150,000",4 bedrooms | 175 m² ,4 bedrooms,No,Not installed,To renovate,116 m² ,No
House for sale,Rue Parmentier 22,"€150,000",4 bedrooms | 100 m² ,4 bedrooms,No,Not installed,To renovate,116 m² ,No
House for sale,*MK rue Grande 244,"€155,000",3 bedrooms,3 bedrooms,No,USA hyper equipped,To renovate,116 m² ,No
House for sale,8580 — Avelgem,"€157,500",3 bedrooms | 201 m² ,3 bedrooms,No,Installed,Good,42 m² ,No
House for sale,Rue du Rossignol 40,"€159,000",3 bedrooms | 136 m² ,3 bedrooms,No,Installed,Good,42 m² ,No
House for sale,2400 — Mol,"€160,000",2 bedrooms | 143 m² ,2 bedrooms,No,Installed,To renovate,42 m² ,No
House for sale,Lindestraat 41,"€163,000",2 bedrooms | 122 m² ,2 bedrooms,No,Semi equipped,To be done up,42 m² ,No
House for sale,6041 — Charleroi,"€169,000",4 bedrooms | 150 m² ,4 bedrooms,No,Semi equipped,To be done up,42 m² ,No
House for sale,Rue Joseph Tamigniau 44,"€170,000",3 bedrooms,3 bedrooms,No,Installed,Good,42 m² ,No
House for sale,Paanderstraat 21,"€173,000",3 bedrooms | 109 m² ,3 bedrooms,No,Installed,To be done up,42 m² ,No
Apartment block for sale,Rue du Wainage 91,"€175,000",None,280 m² square meters of land,No,Installed,To be done up,42 m² ,No
Apartment block for sale,7000 — Mons,"€175,000",2 bedrooms | 110 m² ,2 bedrooms,No,Installed,To be done up,42 m² ,No
House for sale,Maanstraat 2/A,"€175,000",4 bedrooms | 110 m² ,4 bedrooms,No,Installed,To renovate,42 m² ,No
House for sale,Gaston De Schepperstraat 4,"€175,000",2 bedrooms,2 bedrooms,No,Installed,As new,42 m² ,No
Apartment block for sale,7141 — Carnières,"€180,000",2 bedrooms,2 bedrooms,No,Installed,Good,42 m² ,No
House for sale,7141 — Carnières,"€180,000",2 bedrooms,2 bedrooms,No,Installed,Good,42 m² ,No
House for sale,Gilainstraat 101 Box b,"€185,000",2 bedrooms | 75 m² ,2 bedrooms,No,Installed,Good,42 m² ,Yes
House for sale,"Spoorwegstraat 12,","€185,000",3 bedrooms | 128 m² ,3 bedrooms,No,Installed,To be done up,42 m² ,Yes
House for sale,Dranouterstraat 73,"€195,000",4 bedrooms | 129 m² ,4 bedrooms,No,Installed,To renovate,42 m² ,Yes
House for sale,Vrijstraat 67,"€197,000",4 bedrooms | 163 m² ,4 bedrooms,No,Installed,As new,42 m² ,No
House for sale,7331 — Baudour,"€199,000",4 bedrooms | 104 m² ,4 bedrooms,No,Not installed,Good,151 m² ,No
Bungalow for sale,Schoolstraat 14,"€200,000",2 bedrooms | 117 m² ,2 bedrooms,No,Not installed,Good,151 m² ,No
House for sale,Eigenstraat 68 +,"€200,000",4 bedrooms | 328 m² ,4 bedrooms,No,Installed,To renovate,151 m² ,No
House for sale,Stooktestraat 20,"€209,000",2 bedrooms | 81 m² ,2 bedrooms,No,Not installed,To be done up,151 m² ,No
House for sale,Ernest Claeslaan 23,"€210,000",4 bedrooms | 170 m² ,4 bedrooms,No,Not installed,To renovate,151 m² ,No
House for sale,Tumulusstraat 39,"€215,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,As new,151 m² ,No
House for sale,Borluutstraat 20,"€215,000",3 bedrooms | 154 m² ,3 bedrooms,No,Installed,As new,151 m² ,No
House for sale,Vilain XIIII-laan 13,"€218,000",4 bedrooms | 233 m² ,4 bedrooms,No,Installed,As new,151 m² ,No
House for sale,7300 — Boussu,"€220,000",4 bedrooms | 202 m² ,4 bedrooms,No,Installed,As new,151 m² ,No
House for sale,MK* - rue Rempart 25,"€220,000",3 bedrooms | 202 m² ,3 bedrooms,No,Installed,Good,151 m² ,No
House for sale,Ieperstraat 6,"€225,000",5 bedrooms | 246 m² ,5 bedrooms,No,Installed,To renovate,151 m² ,No
Apartment block for sale,"Rue du Chateau, 238 Box 0","€235,000",5 bedrooms | 387 m² ,5 bedrooms,No,Installed,To renovate,151 m² ,No
House for sale,5060 — TAMINES,"€239,000",3 bedrooms | 400 m² ,3 bedrooms,No,Semi equipped,To renovate,151 m² ,No
House for sale,Kruisstraat 138,"€239,000",3 bedrooms | 160 m² ,3 bedrooms,No,Semi equipped,Just renovated,151 m² ,No
House for sale,Broechemsesteenweg 169,"€240,000",3 bedrooms | 244 m² ,3 bedrooms,No,Semi equipped,Just renovated,151 m² ,No
House for sale,rue de l'?glise 29,"€240,000",4 bedrooms | 210 m² ,4 bedrooms,No,Installed,Just renovated,151 m² ,No
Mixed-use building for sale,9280 — Lebbeke,"€245,000",2 bedrooms | 463 m² ,2 bedrooms,No,Installed,Just renovated,151 m² ,No
House for sale,Rue Louis Lenoir Scailler 4/C 1.2,"€245,748",2 bedrooms | 98 m² ,2 bedrooms,No,Installed,Just renovated,151 m² ,No
House for sale,Rue Louis Lenoir Scailler 4/C 1.8,"€245,748",2 bedrooms | 98 m² ,2 bedrooms,No,Installed,Just renovated,151 m² ,No
House for sale,Rue Louis Lenoir Scailler 4/C 1.5,"€245,748",2 bedrooms | 98 m² ,2 bedrooms,No,Installed,Just renovated,151 m² ,No
House for sale,Oudenaardsesteenweg 416,"€249,000",3 bedrooms | 150 m² ,3 bedrooms,No,Installed,To renovate,151 m² ,No
House for sale,AVENUE,"€250,000",385 m² ,385 m² square meters livable space,No,Installed,To renovate,151 m² ,No
House for sale,Kerkwegel 11,"€250,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To renovate,151 m² ,No
House for sale,2500 — Koningshooikt,"€255,000",3 bedrooms | 154 m² ,3 bedrooms,No,Installed,To renovate,151 m² ,No
House for sale,"Ringlaan 56,","€257,000",3 bedrooms,3 bedrooms,No,Installed,Good,151 m² ,No
House for sale,2590 — Berlaar,"€259,000",2 bedrooms,2 bedrooms,No,Installed,Good,151 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,Good,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,Good,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Watervlietstraat 29,"€259,000",4 bedrooms | 100 m² ,4 bedrooms,No,USA hyper equipped,Good,751 m² ,Yes
House for sale,Liersesteenweg 99,"€260,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,751 m² ,Yes
House for sale,Mimosastraat 35,"€265,000",2 bedrooms,2 bedrooms,No,Installed,To be done up,751 m² ,Yes
Villa for sale,6043 — Ransart,"€269,900",2 bedrooms | 137 m² ,2 bedrooms,No,Semi equipped,Good,1500 m² ,Yes
House for sale,"Plassendale 7,","€275,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,1500 m² ,Yes
House for sale,Hooiland 62,"€275,000",3 bedrooms | 224 m² ,3 bedrooms,No,Installed,To be done up,1500 m² ,Yes
House for sale,"Spanjaardstraat 24,","€279,000",3 bedrooms | 102 m² ,3 bedrooms,No,Installed,Good,1500 m² ,Yes
House for sale,Stampkotstraat 6,"€280,000",3 bedrooms | 200 m² ,3 bedrooms,No,Installed,Good,378 m² ,No
House for sale,Hockeystraat 30,"€282,000",4 bedrooms | 172 m² ,4 bedrooms,No,Installed,Good,30 m² ,No
Mansion for sale,Romestraat 2,"€289,000",3 bedrooms | 181 m² ,3 bedrooms,No,Installed,As new,30 m² ,No
House for sale,"Snellegemstraat 3,","€289,000",3 bedrooms | 156 m² ,3 bedrooms,No,Installed,Good,30 m² ,No
House for sale,Klein Eikeblok 42,"€290,000",3 bedrooms,3 bedrooms,No,Installed,Good,30 m² ,No
House for sale,"Brugsesteenweg 101,","€290,000",3 bedrooms | 249 m² ,3 bedrooms,No,Not installed,To be done up,240 m² ,No
House for sale,1400 — Les Bons Villers,"€295,000",3 bedrooms | 215 m² ,3 bedrooms,No,Installed,Good,240 m² ,No
House for sale,6210 — Les Bons Villers,"€295,000",3 bedrooms | 215 m² ,3 bedrooms,No,Installed,Good,240 m² ,No
House for sale,"Nieuwhof 17,","€299,000",4 bedrooms | 149 m² ,4 bedrooms,No,Installed,To be done up,9 m² ,No
House for sale,"Zwijnaardsesteenweg 698,","€299,000",3 bedrooms | 210 m² ,3 bedrooms,No,Installed,To be done up,9 m² ,No
House for sale,Hoogstraat 86,"€299,000",3 bedrooms | 249 m² ,3 bedrooms,No,Installed,To be done up,9 m² ,No
House for sale,Prinsdaal 1,"€299,000",4 bedrooms | 194 m² ,4 bedrooms,No,Installed,To renovate,9 m² ,No
Villa for sale,Priester Joris Eeckhoutlaan 47,"€300,000",4 bedrooms,4 bedrooms,No,Installed,To renovate,9 m² ,No
House for sale,Rustoordlei 88,"€309,000",3 bedrooms | 126 m² ,3 bedrooms,No,Installed,To renovate,9 m² ,No
House for sale,2500 — Lier,"€310,000",2 bedrooms | 91 m² ,2 bedrooms,No,Installed,Good,9 m² ,No
House for sale,Zandstraat 22,"€315,000",4 bedrooms | 211 m² ,4 bedrooms,No,Installed,Good,9 m² ,No
House for sale,- -,"€322,291",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,9 m² ,No
House for sale,Lostraat 49,"€324,000",3 bedrooms | 156 m² ,3 bedrooms,No,Hyper equipped,As new,9 m² ,No
House for sale,"Sint-Truidensesteenweg 113,","€325,000",3 bedrooms,3 bedrooms,No,Hyper equipped,Good,92 m² ,No
House for sale,Paanderstraat 41,"€325,000",3 bedrooms,3 bedrooms,No,Installed,To be done up,92 m² ,No
House for sale,Binnestraat 34,"€325,000",3 bedrooms,3 bedrooms,No,Installed,As new,92 m² ,No
House for sale,Kapellenstraat 67,"€325,000",3 bedrooms | 158 m² ,3 bedrooms,No,Installed,As new,92 m² ,No
House for sale,"Gulden-Vlieslaan 49,","€329,000",4 bedrooms | 170 m² ,4 bedrooms,No,Installed,As new,92 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,As new,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,As new,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Minnenbergstraat 24,"€329,000",3 bedrooms | 138 m² ,3 bedrooms,No,Hyper equipped,Good,751 m² ,No
House for sale,Driemastenbaan 16,"€330,000",3 bedrooms,3 bedrooms,No,Hyper equipped,Good,751 m² ,No
House for sale,"Dendermondsesteenweg 164,","€330,000",3 bedrooms | 120 m² ,3 bedrooms,No,Hyper equipped,Good,4 m² ,No
Chalet for sale,8620 — Nieuwpoort,"€332,000",3 bedrooms | 94 m² ,3 bedrooms,No,Hyper equipped,As new,4 m² ,No
House for sale,Zandstraat 11,"€339,000",3 bedrooms | 178 m² ,3 bedrooms,No,Hyper equipped,To renovate,4 m² ,No
House for sale,Rijkswachtstraat 71,"€339,000",3 bedrooms | 135 m² ,3 bedrooms,No,Hyper equipped,Just renovated,4 m² ,No
House for sale,Eik 7,"€345,000",4 bedrooms | 300 m² ,4 bedrooms,No,Hyper equipped,Just renovated,4 m² ,No
House for sale,Oudenaardsestraat 94A,"€345,000",2 bedrooms | 398 m² ,2 bedrooms,No,Hyper equipped,As new,4 m² ,No
House for sale,Koning Albertlaan 46/D001,"€348,000",4 bedrooms | 184 m² ,4 bedrooms,No,Hyper equipped,As new,4 m² ,No
Apartment block for sale,6044 — Roux,"€349,000",7 bedrooms | 405 m² ,7 bedrooms,No,Installed,Good,762 m² ,No
House for sale,6044 — Roux,"€349,000",7 bedrooms | 405 m² ,7 bedrooms,No,Installed,Good,762 m² ,No
House for sale,6044 — Roux,"€349,000",7 bedrooms | 405 m² ,7 bedrooms,No,Installed,Good,762 m² ,No
House for sale,Deinzestraat 73,"€349,000",3 bedrooms | 134 m² ,3 bedrooms,No,Installed,Good,762 m² ,No
Villa for sale,7032 — Spiennes,"€350,000",4 bedrooms | 150 m² ,4 bedrooms,No,Installed,Good,1000 m² ,No
House for sale,"Korte Rijkepijnderstraat 14,","€350,000",3 bedrooms,3 bedrooms,No,Installed,Good,1000 m² ,No
House for sale,Rue Joseph Dechamps 2a,"€358,000",3 bedrooms | 181 m² ,3 bedrooms,No,Installed,To be done up,667 m² ,No
House for sale,2223 — Schriek,"€359,000",2 bedrooms | 150 m² ,2 bedrooms,No,Installed,Good,667 m² ,No
House for sale,Lichtervelde -,"€361,347",3 bedrooms,3 bedrooms,No,Hyper equipped,As new,667 m² ,No
House for sale,"Pollare-Dorp 84,","€365,000",4 bedrooms | 147 m² ,4 bedrooms,No,Installed,As new,667 m² ,No
House for sale,1800 — Vilvoorde,"€370,000",3 bedrooms | 220 m² ,3 bedrooms,No,Installed,Good,100 m² ,No
House for sale,"Sint-Pietersstraat 5,","€375,000",3 bedrooms | 189 m² ,3 bedrooms,No,Installed,Good,100 m² ,No
House for sale,"Borstelstraat 17,","€375,000",4 bedrooms,4 bedrooms,No,Installed,Good,100 m² ,No
Country house for sale,8530 — Harelbeke,"€385,000",3 bedrooms | 153 m² ,3 bedrooms,No,Installed,Good,487 m² ,No
House for sale,3200 — Aarschot,"€395,000",4 bedrooms | 225 m² ,4 bedrooms,No,Installed,Good,487 m² ,No
House for sale,4000 — LIEGE,"€395,000",4 bedrooms | 370 m² ,4 bedrooms,No,Installed,Good,487 m² ,No
House for sale,Gistelse Steenweg 460,"€399,000",3 bedrooms | 195 m² ,3 bedrooms,No,Installed,Good,487 m² ,No
House for sale,Montystraat 12,"€400,000",3 bedrooms | 384 m² ,3 bedrooms,No,Installed,Good,487 m² ,No
Exceptional property for sale,Perrestraat 11,"€415,000",4 bedrooms | 205 m² ,4 bedrooms,No,Hyper equipped,As new,348 m² ,No
House for sale,Noordlaan 74,"€420,000",4 bedrooms | 261 m² ,4 bedrooms,No,Hyper equipped,As new,348 m² ,No
Bungalow for sale,Vrijestraat 1/A,"€420,000",4 bedrooms | 250 m² ,4 bedrooms,No,Hyper equipped,As new,348 m² ,No
