Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10
Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,6470 — Rance,"€125,000",6 bedrooms | 226 m² ,6 bedrooms,No,Semi equipped,Good,900 m² ,Yes
House for sale,Oude Gentbaan 261,"€125,000",3 bedrooms | 140 m² ,3 bedrooms,No,Semi equipped,Good,900 m² ,Yes
House for sale,5670 — Nismes,"€130,000",2 bedrooms | 138 m² ,2 bedrooms,No,Hyper equipped,Good,2 m² ,Yes
House for sale,7340 — PATURAGES,"€130,000",3 bedrooms | 124 m² ,3 bedrooms,No,Hyper equipped,Good,2 m² ,Yes
House for sale,Welvaartstraat 41,"€132,000",3 bedrooms | 112 m² ,3 bedrooms,No,Hyper equipped,Good,2 m² ,Yes
House for sale,Torhoutse Steenweg 290,"€133,000",5 bedrooms | 155 m² ,5 bedrooms,No,Hyper equipped,Good,2 m² ,Yes
Town-house for sale,6040 — Jumet,"€135,000",1 bedroom | 70 m² ,1 bedroom,No,Semi equipped,Good,2 m² ,Yes
House for sale,Rue Emile Dupont,"€135,000",3 bedrooms | 124 m² ,3 bedrooms,No,Not installed,Good,455 m² ,Yes
House for sale,Evangeliestraat 41,"€136,000",3 bedrooms | 114 m² ,3 bedrooms,No,Not installed,Good,455 m² ,Yes
House for sale,7340 — Wasmes,"€139,000",2 bedrooms | 94 m² ,2 bedrooms,No,Not installed,Good,455 m² ,Yes
House for sale,Rue du Sentier 14,"€140,000",3 bedrooms | 111 m² ,3 bedrooms,No,Not installed,Good,160 m² ,No
House for sale,7340 — PATURAGES,"€140,000",2 bedrooms | 150 m² ,2 bedrooms,No,Not installed,Good,160 m² ,No
House for sale,"Route de Durbuy, Bloc C & D","€141,385",2 bedrooms,2 bedrooms,No,Not installed,Good,160 m² ,No
House for sale,Rue du Seigneur 130,"€145,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,To be done up,160 m² ,No
House for sale,Rue du Seigneur 130,"€145,000",2 bedrooms | 135 m² ,2 bedrooms,No,Installed,To be done up,160 m² ,No
House for sale,Rue emile Dupont,"€145,000",3 bedrooms | 166 m² ,3 bedrooms,No,Not installed,Good,631 m² ,No
House for sale,SR* - Rue Jean Volders 121,"€145,000",3 bedrooms | 164 m² ,3 bedrooms,No,Not installed,Good,631 m² ,Yes
House for sale,"Menenstraat 275,","€145,000",2 bedrooms | 165 m² ,2 bedrooms,No,Not installed,Good,631 m² ,Yes
House for sale,Place du Louvy 8,"€149,000",2 bedrooms | 107 m² ,2 bedrooms,No,Not installed,Good,631 m² ,Yes
House for sale,Jagersstraat 28,"€150,000",3 bedrooms | 141 m² ,3 bedrooms,No,Not installed,Good,631 m² ,Yes
House for sale,rue Lassaux 40,"€150,000",3 bedrooms | 141 m² ,3 bedrooms,No,Not installed,To renovate,631 m² ,Yes
House for sale,7380 — QUI?VRAIN,"€150,000",3 bedrooms | 172 m² ,3 bedrooms,No,Not installed,To be done up,631 m² ,Yes
House for sale,Hoogledestraat 20,"€150,000",4 bedrooms | 136 m² ,4 bedrooms,No,Not installed,To be done up,631 m² ,Yes
House for sale,Holdestraat 71,"€150,000",3 bedrooms | 85 m² ,3 bedrooms,No,Not installed,To be done up,631 m² ,Yes
House for sale,Duinenstraat 68 Box 1,"€155,000",1 bedroom | 45 m² ,1 bedroom,Yes,Installed,Good,631 m² ,Yes
Mixed-use building for sale,Rue du Centre 93,"€158,000",3 bedrooms | 110 m² ,3 bedrooms,No,Installed,To be done up,631 m² ,Yes
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To be done up,900 m² ,Yes
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,Yes
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,Yes
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,Yes
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€6,230",3 bedrooms | 192 m² ,3 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Apartment for sale,Zeedijk - Albertplein,"€4,300",2 bedrooms | 142 m² ,2 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
Town-house for sale,Hazegrasstraat,"€1,595",4 bedrooms,4 bedrooms,No,USA hyper equipped,As new,751 m² ,Yes
House for sale,Rue du Centre 93,"€158,000",3 bedrooms | 110 m² ,3 bedrooms,No,USA hyper equipped,To be done up,751 m² ,Yes
House for sale,Rue Julien Lahaut 29,"€159,000",6 bedrooms | 142 m² ,6 bedrooms,No,Semi equipped,To renovate,22 m² ,Yes
House for sale,Rue de Fléron 4,"€160,000",2 bedrooms | 132 m² ,2 bedrooms,No,Semi equipped,To renovate,40 m² ,Yes
Apartment block for sale,Rue du Sentier 8,"€160,000",4 bedrooms | 176 m² ,4 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,Rue de l'American-Legion 25,"€160,000",3 bedrooms | 106 m² ,3 bedrooms,No,Semi equipped,Good,40 m² ,No
Farmhouse for sale,Schoolstraat 77,"€165,000",2 bedrooms | 166 m² ,2 bedrooms,No,Semi equipped,Good,40 m² ,No
House for sale,Rue Sivry 310,"€170,000",2 bedrooms | 138 m² ,2 bedrooms,No,Semi equipped,To renovate,40 m² ,No
House for sale,7012 — Mons Jemappes,"€170,000",3 bedrooms | 160 m² ,3 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Karenveldstraat 38,"€175,000",3 bedrooms | 211 m² ,3 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Haachtsesteenweg 137,"€175,000",4 bedrooms | 186 m² ,4 bedrooms,No,Installed,Good,40 m² ,No
House for sale,Rue du Chaufour 58,"€175,000",3 bedrooms | 163 m² ,3 bedrooms,No,Installed,To be done up,40 m² ,No
Mixed-use building for sale,Rue Marie Henriette 68,"€179,000",4 bedrooms,4 bedrooms,No,Semi equipped,Good,40 m² ,Yes
House for sale,5590 — Haversin,"€179,000",3 bedrooms | 130 m² ,3 bedrooms,No,Semi equipped,Good,40 m² ,Yes
