Title,Location,Price,Area,Number_of_Rooms,Furnished,Kitchen type,Status,Garden surface,Swimming Pool
House for sale,1440 — Wauthier-Braine,"€695,000",5 bedrooms | 300 m² ,5 bedrooms,No,Hyper equipped,To renovate,6083 m² ,No
Villa for sale,Oostmalsesteenweg 116,"€695,000",3 bedrooms | 308 m² ,3 bedrooms,Yes,Hyper equipped,To renovate,6083 m² ,No
Mixed-use building for sale,Dendermondsesteenweg 214,"€695,000",4 bedrooms | 300 m² ,4 bedrooms,No,Hyper equipped,To renovate,6083 m² ,No
Mixed-use building for sale,Dendermondsesteenweg 214,"€695,000",4 bedrooms | 300 m² ,4 bedrooms,No,Hyper equipped,To renovate,6083 m² ,No
Villa for sale,Iweins de Wavranslaan 16,"€700,000",5 bedrooms,5 bedrooms,No,Hyper equipped,To renovate,6083 m² ,No
Mixed-use building for sale,3090 — Overijse,"€700,000",None,509 m² square meters of land,No,Hyper equipped,To restore,6083 m² ,No
Villa for sale,Vlieghavenlaan 55,"€750,000",5 bedrooms | 858 m² ,5 bedrooms,No,Hyper equipped,To restore,6083 m² ,No
Mixed-use building for sale,6061 — Montigny-sur-Sambre,"€750,000",4 bedrooms,4 bedrooms,No,Installed,Good,6083 m² ,No
House for sale,Pater Domstraat 16/W3,"€410,000",4 bedrooms | 161 m² ,4 bedrooms,No,Installed,As new,6083 m² ,No
House for sale,Kastanjelaan 6,"€619,000",6 bedrooms | 304 m² ,6 bedrooms,No,Installed,As new,6083 m² ,No
House for sale,Elsenstraat 12,"€215,000",3 bedrooms | 166 m² ,3 bedrooms,No,Installed,To be done up,6083 m² ,No
Villa for sale,Oostmalsesteenweg 295,"€635,000",4 bedrooms | 326 m² ,4 bedrooms,No,Installed,To be done up,900 m² ,No
Villa for sale,Laar 196,"€599,900",4 bedrooms | 165 m² ,4 bedrooms,No,Installed,To be done up,751 m² ,No
Mansion for sale,1030 — Schaerbeek,"€729,000",8 bedrooms | 411 m² ,8 bedrooms,No,Installed,Good,751 m² ,No
Apartment for sale,1370 — Jodoigne,"€150,000",1 bedroom | 68 m² ,1 bedroom,No,Hyper equipped,To be done up,751 m² ,No
Penthouse for sale,Kustlaan 111 Box 6/7,"€2,795",3 bedrooms | 226 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
House for sale,2880 — Bornem,"€775,000",3 bedrooms | 160 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,Yes
Villa for sale,Oudeheerweg-Heide 18,"€780,000",3 bedrooms | 321 m² ,3 bedrooms,No,Hyper equipped,As new,751 m² ,No
House for sale,Schepenhuisstraat 37,"€795,000",4 bedrooms | 300 m² ,4 bedrooms,No,Hyper equipped,To be done up,751 m² ,No
Apartment block for sale,Brusselbaan 83,"€795,000",312 m² ,312 m² square meters livable space,No,Semi equipped,As new,751 m² ,No
Apartment block for sale,Rue d'assaut 38,"€845,000",11 bedrooms | 400 m² ,11 bedrooms,No,Hyper equipped,Just renovated,110 m² ,No
